name ,company,email,Phone,location,category,quantity ,requirements ,remarks,call status,follow up date
,Bhargav Tutorials(Premier Coaching Instiute For CBSE/JEE/NEET) | NEET Coaching in Gurgaon | JEE Coaching in Gurgaon,,9555522336,,institute,,,,,
,VIGYAN MADE EASY Coaching Classes (by IIT Kanpur Alum),,9560728234,,institute,,,,,
,School of Physics - Best JEE Coaching in Gurgaon | Best Physics Teacher in Gurgaon,,9560844627,,institute,,,,,
,ALPHA PHYSICS CLASSES - IIT JEE / CBSE (XI & XII) BY RK MISHRA(ex-FIITJEE),,9599470385,,institute,,,,,
,Doedu ADPHYC INSTITUTE,,9599854433,,institute,,,,,
,Para Classes - Best Chemistry Institute in Faridabad,,9625245071,,institute,,,,,
,best chemistry home tuition in gurugram,,9643158665,,institute,,,,,
,"Milestone Mania Academy – Best Tuition for Class 9-12, IIT JEE, NEET, CUET",,9654175069,,institute,,,,,
,Bharti Chemistry Class,,9711433945,,institute,,,,,
,Career Point Faridabad - JEE NEET Coaching Institute in Faridabad,,9717194951,,institute,,,,,
,"Concept Coaching - IIT JEE, Foundation, Medical coaching in faridabad, Sector 7",,9718311776,,institute,,,,,
,"ALLEN Career Institute, Faridabad, Haryana",,9773348183,,institute,,,,,
,"Physics Classes in Gurugram by anurag sharma : Best Class 11th,12th, JEE,NEET Coaching in Gurugram",,9810063360,,institute,,,,,
,"Sanchay Coaching Centre | Best Coaching in Gurugram Near Me | Classes 9-12 Tuitions | JEE, NEET & CBSE Board | PCM Coaching",,9810710607,,institute,,,,,
,"Takshila Institute | IIT JEE, NEET Classes Gurgaon",,9821853303,,institute,,,,,
,"Alpha Classes | Alpha Chemistry Classes for 11th, 12th, IIT-JEE, NEET | Chemistry Tuition Near Me | Best Chemistry Tutor",,9871319231,,institute,,,,,
,Career Launcher Gurgaon South City II - Best Coaching for CAT | CLAT | CMAT | CUET | IPMAT | BBA | MBA & LAW Entrance Exams,,9910313515,,institute,,,,,
,"Career Point,Kota (Gurugram Centre)",,9911020565,,institute,,,,,
,Velocity Institute,,9953319003,,institute,,,,,
,We Educate - Premier IIT JEE & NEET Coaching Gurugram Haryana Sector 46,,9953555274,,institute,,,,,
,"Physics Tuition Classes IX, X, XI, XII IIT-JEE and NEET IB Board IGCSE, ISC, ICSE",,9958206327,,institute,,,,,
,"Praful Sir’s Classes - Best JEE, 8th, 9th, 10th 11th 12th Science and Mathematics Coaching in Gurgaon",,9971116074,,institute,,,,,
,100 PLUS ACADEMY IIT-JEE /NEET/FOUNDATION(6-12th CBSE+ICSE+IB),,9990111965,,institute,,,,,
,Physics For NEET/JEE/CBSE(Tiwari Sir Classes),,9990899713,,institute,,,,,
,Decimal Academy,,9992231631,,institute,,,,,
